gene_symbol	GSM909689	GSM909692	GSM909736	GSM909738	GSM909745	GSM909762	GSM909812	GSM909816	GSM909836	GSM909848	GSM909851	GSM909862	GSM909896	GSM909906	GSM909907	GSM909978	GSM910060	GSM910073	GSM910158	GSM910172	GSM910179	GSM910188	GSM910194
LOC51145	0.2797528589162045	-1.2633684064765327	0.7579045684866847	-0.4872778609837788	0.9677301292152664	2.909224868530143	-1.1640727179797612	1.4195824593507311	-0.0727002418585706	0.1366076145504207	-0.6726677778278563	0.0365871400062273	3.609259472432389	1.5115267465093685	3.609259472432389	-0.2169326652954871	1.4006862516858112	-1.4088950907124185	0.6152252580085322	0.4237264301933281	0.8839655703061008	0.0467859151020898	3.609259472432389
LSM14B	-0.4725135088141809	-0.3550837661178993	1.0075984856491584	-0.382177504418328	1.2309876292794963	-1.4151439346680128	2.518931281281465	1.4566934429209255	1.7922715696492884	2.187263806540114	2.122552432632781	-0.6160340412085308	-1.441164094182815	1.6058643899764695	1.467584617180378	1.362712921068602	0.1333098251224782	-0.506161728121596	0.7540220016913857	2.513094967977916	2.48176341868159	2.161314277208577	-0.861996591410342
MAU2	-0.5472904986061204	-0.2062042138201018	0.682993569861571	-0.791382267025285	0.9552588789615126	-0.4275973417958253	2.360177467972548	2.2542751409492707	1.0589416518345178	1.997265567375528	2.0536570398200857	-1.0487173752077354	-1.0941146560946169	1.4565821763694482	1.819730829409164	2.2277736643950328	-0.7479825848736478	-0.7146152874812367	1.2048699387010184	3.019355456547775	2.448915242900392	1.952474964623054	-1.1376248720429372
NAV2	2.023249152500468	-0.4350545587448161	-0.2643472712745716	4.368539996547747	0.7089865952026706	-0.381202402118766	0.5524509278971754	-0.0292603379130337	-0.1654158657435072	4.368539996547747	0.137289940975551	-1.0915919790249058	3.545955997250071	4.368539996547747	-0.6449025114319887	-0.1552932799115438	-0.0371154645186379	0.3062426469015865	-0.1798304279682251	1.1921443653528767	1.3213085605687411	-0.0982288893814843	0.2404323422127101
OR7E2P	-0.5188299227387464	0.3348271273372116	0.8763200746936513	-1.4196349861480253	1.4575852932253657	0.0903496430372452	-0.5169008824820281	2.315100423814763	0.2452402283560913	2.0438433218332945	0.8285479601008049	-0.92704888294721	0.7053730660615308	-0.1039727945880485	1.383827871644963	2.7462409211912893	-1.2237806636129849	-1.898774544029952	0.0084221686048588	1.9708802109468349	1.5353710047536224	0.8177680292544383	2.465962719185755
PROM1	1.4449983237795352	-0.4833510542185402	0.3401726048012032	4.367482175285887	-0.212754181236662	1.2845368798569328	-0.2378687050316547	-0.5174447475247941	0.480988479145174	0.1571759665544456	-0.6837242278477803	1.8846479411019168	4.367482175285887	1.1075909994665751	-0.3888855365309658	0.1103601669860207	0.6039235882852967	1.4571968067656744	0.0996743734639811	0.0456248153044099	0.4444706040054289	0.0303039861167304	-0.4249185753040133
SGSM3	-0.2026810307033821	-1.7218478763642089	1.2816773318373194	-0.57308139752063	2.0436142625548905	-1.3123313775647925	2.283023813754027	2.7062899448189537	2.1121537422264547	2.007181125735062	1.3086910764788204	-0.3828939139850669	-1.336683952464858	2.034845803982384	1.3753351906510876	1.167438484016027	0.2680205467282037	-0.7885787112589336	0.9255975043480952	2.14523648548692	2.703948115446488	1.6009602654916968	-0.4136792445191095
SLC19A1	-0.6208085751708933	-0.704857628073254	1.7297520194519231	-0.8599521607668651	1.0019216189027065	-0.2416957502033826	2.5901738595482	2.266724042842476	0.5043782294324997	2.1792673786922085	2.941318554462141	-0.5342681083844489	-0.889463360064769	1.4351061619737815	1.7397176749882517	2.108671960763891	-1.2020795447842254	-0.3796718584676541	0.7250532050103401	2.5939190171933038	2.2914613716657186	2.5927777888980144	0.5265437761818511
SREBF2	-0.999081313880325	-0.268532281774659	1.6614747164889383	-0.3548240228741687	2.2646597930114933	-0.3454510974551576	2.1501801537860787	2.145714881056965	1.658626895491424	2.029023342027654	1.1990355893630682	-0.8424373346431349	-1.2992775903903917	2.960942073355199	0.8835633798323418	1.3130451998801556	-0.2175756400423953	-0.5392549933978068	1.4331651836055062	2.7000722694085058	2.0353134320949846	1.3306712764424558	-1.0700280000903022
TNIP1	-0.1025607667816629	-2.465071933672196	1.6528652579497445	-0.5576487236762929	2.025808668390255	0.3508088708954774	2.025808668390255	1.25449664832904	0.9176468293138728	1.479522400336927	1.6871723899127675	0.0890466390653548	-1.7315273849637078	1.3172449259608894	1.5568023258339423	1.1254745760501448	0.7075230525887137	0.3565859786094575	1.3815782049399057	1.7638597915416812	1.333094939432579	1.56250536806441	-2.399301784313032
TTC7A	-0.9727748214319798	-0.9993772837898988	1.872206284739981	-0.1736592880117214	0.933988719231327	-0.7252797744198636	1.8240293856655876	2.1342245133857483	2.067277654048276	1.8517336066301964	2.3641527205332906	-1.4383980405942285	-0.4008018487620546	0.9021378795106272	0.6583888117612605	1.9313807379066168	1.4821637059967272	-1.7306429164546886	-0.0212359927696999	1.520324617737567	2.1594848334409704	0.8465090858600686	-1.2593722829942882
TWIST2	1.202867030569907	-0.5645619554652477	-0.5058223238943995	-0.4102819592912103	0.419180061911507	0.4724387332434964	-0.2923359110742241	-0.1386130454739172	2.5963559985505964	1.0202637206340728	-0.4310162511838173	-0.0540044861822993	2.845062098180362	0.732407905012456	2.5028634652454427	-0.3333828825333719	4.296944373321203	-0.7829571403674769	1.3683649261339172	2.6213214712869384	-0.1769195368136349	0.0856094240778681	1.6648487368568134
TYROBP	-0.3751471231831699	-2.690240593870456	1.2863726054322444	-0.9681016046424126	1.7876746103751362	-0.0941916728313174	1.7303280942011092	1.8670520438649876	0.8183910503315049	1.147772447674755	1.8584954339050128	-0.2879634270383058	-2.287445290972637	1.2692621041619492	1.5008400801429236	1.799483744816898	0.6959838495855281	0.0626404291794228	1.6644348231721124	0.6557478346817964	1.2275818066286497	1.8670520438649876	-0.275457638622281
VPS18	-0.9910905373829256	-1.0114281528618734	2.204741470822976	-1.1705343707728169	1.4416995600721867	-0.527745898107365	1.4161480017714057	2.1272682716670834	1.0079869560884058	2.1195445116484057	2.0487028972213377	-0.7916815130013594	-0.3970896725503326	1.049342266544803	1.8900176809047025	1.6877264148390188	0.7217706414340358	-1.591503580344232	0.407363412329944	2.109780513134228	2.1785171195897504	0.8639396413585301	-1.7971223782418635
ZBTB45	-0.6320463958147492	0.0848534685591703	0.9366753847435711	-0.8624336906429028	0.3361832234388913	-0.4683309907159812	1.7590969198121018	2.00124032023442	1.71120242421591	2.75352990695635	2.863057961312997	-0.8876658140093797	-0.4856717523238963	1.714035220744625	1.2745673078364337	1.3417652883497224	-0.6279186065871939	-1.0435707943932648	0.2469906013062282	2.375088524981034	2.4361555244357467	0.8804646079095113	-0.7355851089392589
ZNF672	-0.7657132677929116	-1.0146915728825252	1.0191742608423429	-0.7967323342052104	1.201985564151222	-0.5574681317142196	2.072936688793531	2.119240077378008	0.8375190408411826	2.40742011644754	1.4010120619060265	-1.2032232364542734	-0.7464051751471152	2.0738825751362104	1.039653450864789	1.8873327686634096	-0.2883559601875811	-1.2092037905317228	0.5385889284167582	2.227686697269601	2.6011916900763503	1.8471551202029504	-0.6074349531179611
