"pathway_id","pathway_description","NES","p.adjust","direction","n_core_genes","n_ko_hits","ko_genes_hit","ko_ranks_hit","ko_scores_hit","ko_modules_hit"
"GO:0030098","lymphocyte differentiation",1.73254439640851,2.00100232262879e-06,"activated",174,9,"GPR183; IL10; PRKDC; HLX; CD86; CD46; MERTK; STAT5A; SOCS3","35; 36; 46; 47; 57; 63; 85; 96; 103","1.552; 1.539; 1.313; 1.312; 1.164; 1.069; 0.811; 0.63; 0.563","uncharacterised; immune; uncharacterised; uncharacterised; immune; uncharacterised; immune; signalling; signalling"
"GO:0043299","leukocyte degranulation",1.73249007082916,0.0093810509230143,"activated",39,2,"SNAP23; PTGDR","112; 145","0.51; 0.212","uncharacterised; uncharacterised"
"GO:0001961","positive regulation of cytokine-mediated signaling pathway",1.73129613414583,0.0220710842089218,"activated",33,1,"HIF1A","1","3.18","signalling"
"GO:0044346","fibroblast apoptotic process",1.73124497980459,0.0414465215035778,"activated",13,1,"BTG1","3","3.142","apoptosis"
"GO:0032733","positive regulation of interleukin-10 production",1.73048905832004,0.0186847897781553,"activated",19,2,"CD46; TIGIT","63; 75","1.069; 0.914","uncharacterised; immune"
"GO:0060211","regulation of nuclear-transcribed mRNA poly(A) tail shortening",1.72770309548706,0.0423814259591103,"activated",6,1,"BTG2","119","0.424","apoptosis"
"GO:0060213","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening",1.72770309548706,0.0423814259591103,"activated",6,1,"BTG2","119","0.424","apoptosis"
"GO:0045621","positive regulation of lymphocyte differentiation",1.72574813773157,0.00263564892785589,"activated",58,5,"IL10; PRKDC; HLX; CD86; CD46","36; 46; 47; 57; 63","1.539; 1.313; 1.312; 1.164; 1.069","immune; uncharacterised; uncharacterised; immune; uncharacterised"
"GO:0043379","memory T cell differentiation",1.72410307612763,0.0434779734080886,"activated",6,1,"CD46","63","1.069","uncharacterised"
"GO:0010803","regulation of tumor necrosis factor-mediated signaling pathway",1.72268783399464,0.0160986448450992,"activated",36,1,"IKBKB","39","1.464","signalling"
"GO:0032613","interleukin-10 production",1.7209194454437,0.016232892616215,"activated",26,2,"CD46; TIGIT","63; 75","1.069; 0.914","uncharacterised; immune"
"GO:0032653","regulation of interleukin-10 production",1.7209194454437,0.016232892616215,"activated",26,2,"CD46; TIGIT","63; 75","1.069; 0.914","uncharacterised; immune"
"GO:0007264","small GTPase-mediated signal transduction",1.71959301579891,7.33722846598661e-07,"activated",145,11,"RAF1; RAPGEF2; RHOU; F11R; AUTS2; KALRN; PLEKHG3; SIPA1L1; RGL1; DOCK4; DNMBP","21; 62; 66; 97; 98; 106; 117; 135; 136; 137; 161","1.863; 1.079; 1.041; 0.614; 0.603; 0.536; 0.429; 0.273; 0.263; 0.262; 0.111","signalling; signalling; uncharacterised; uncharacterised; epigenetic; uncharacterised; uncharacterised; uncharacterised; signalling; uncharacterised; uncharacterised"
"GO:0090715","immunological memory formation process",1.71749652244187,0.0487989465372954,"activated",7,1,"CD46","63","1.069","uncharacterised"
"GO:0043368","positive T cell selection",1.7168550562585,0.0223402329639974,"activated",26,2,"STAT5A; SOCS3","96; 103","0.63; 0.563","signalling; signalling"
"GO:0016601","Rac protein signal transduction",1.71677978383033,0.0329135371620767,"activated",27,2,"RHOU; AUTS2","66; 98","1.041; 0.603","uncharacterised; epigenetic"
