	GSM5532529	GSM5532546	GSM5532557	GSM5532582	GSM5532583	GSM5532594	GSM5532622	GSM5532641	GSM5532661	GSM5532665	GSM5532686	GSM5532689	GSM5532736	GSM5532907	GSM5532931	GSM5532958	GSM5532972	GSM5533000	GSM5533018	GSM5533028	GSM5533034	GSM5533038	GSM5533043	GSM5533044	GSM5533049	GSM5533050	GSM5533098	GSM5533148	GSM5533203	GSM5533225	GSM5533238	GSM5533245	GSM5533273	GSM5533289	GSM5533296	GSM5533304
BTNL9	0.0679516491362663	-1.7879161101760728	0.9774415490651528	0.8394943001895137	0.133366212246411	1.1490502286200226	-0.0320774037607965	-1.579864688852364	0.0577554811782425	2.776463330527892	1.0869941986140663	-1.0455230026118998	-0.2076846924114574	-0.2629659091515393	1.2803537849674729	-1.2994620515157953	-0.8184242664888721	1.065340946299603	3.738141522711361	2.150768188202765	2.429154665123282	1.3761638549176374	1.5646644995780126	1.7179348116327806	3.069751131347015	0.7388532699103242	-0.8026975051757929	2.835166946177583	0.5469654695955944	0.8859267045921488	-0.4639749782905905	-0.9691470250220044	1.1894497124466157	0.674079240781896	-0.1947295626951631	1.2323180890767795
C10orf35	-0.0965220756656786	-1.3506174832649762	-0.551178712341785	0.5511597990275946	0.1887442285975711	-0.0866462819027602	-1.538174252729919	1.873845007419274	1.8046185457532076	0.7126091064398735	1.2273107645094583	0.1920330990877672	-0.6602618370741948	-0.6417610389251469	-0.1105800158009538	-0.6766522146518409	-1.1912438595382775	0.9584131592890583	3.4017882779231914	2.3388273257118324	2.864075579397618	2.5818225167604685	3.3764329921874663	2.7706113702659096	2.7401794657671155	2.846336906175449	-0.3858640440848693	1.5358463690095103	-0.506451691693927	-1.2664704244884608	0.0441466529195246	0.0985181561010553	-0.3366681109800481	0.0084427820628065	1.00749203862316	0.9465755781977024
C11orf86	-0.4057928098686678	-1.6184801941430746	1.4441854576733169	0.1108332185640932	0.1059691361945546	-0.2184584006604788	0.0614449026674045	3.024977479801076	1.0698885486275544	0.0696379538679899	-1.057720750006421	1.4682494635259076	-0.7203566814005861	-0.5763383927433052	0.0287289553122165	-0.1542983864742048	-0.3993737305990157	1.1465279612998218	2.867409466690901	0.3591388983580248	2.7538135220381763	2.238792216935343	2.3268244770455677	2.0128074501380784	2.2974367926706267	2.1617558846253027	3.159243812145268	-1.3695976619580017	-0.1038360085347464	1.8675551331545197	2.285587764486952	-0.8964109003737548	0.7348762819092025	0.1215418271400942	-0.4210208596743265	1.3646015447514752
C1QL1	2.0157348058175697	-1.6580446760820593	-0.2367573137561042	-0.5851204290682391	-0.3222575316100176	1.057754683660452	-0.9915335988313508	0.3910752488294821	1.1221434096752154	1.3358952366874663	-1.2897581773297375	0.1008755948333906	-0.0350634064357615	-0.8325550655681316	0.87020813270304	-0.8236619917406618	-0.5183814020718732	0.551361262231758	2.405714632924818	0.5907219432202004	3.293679827268267	2.4920289572055374	2.971905190067699	1.661810280162921	2.475473715259556	2.8310060762045453	-0.7763089107479738	2.1962600368416525	-0.0478456895444779	1.0539701993891877	-0.5327740426573183	-0.4654935735458509	-0.0846130861587488	1.17084541980081	0.1294487399090245	1.242252183713958
C22orf24	0.392519251905467	-0.5558829274198113	-0.6699087931058919	0.1823085491082166	3.5247917806403164	2.1311991040927025	1.1725922803653626	0.4145440129107361	0.9191848256513778	0.5510898535783618	0.4770542268306581	0.2384274901723803	-0.6813281717005959	-0.8359132169877131	0.0657293304650485	-0.3414817125492775	-0.4520836555882683	1.1281538212932798	2.862986213986659	1.9972791914337924	2.9857455768592884	2.364366352929264	3.1873351109826844	3.0118653083769886	2.1535096756938894	2.41522797763879	-0.2711152934146154	1.5858702080813838	-0.7613758635706281	-0.9591355855687832	0.7088498499916783	-0.3756972157854309	-0.3602192203900147	-0.074990056622072	-0.4183081452211973	-1.053166281043148
C4orf46	0.32703401224163	0.9497401497230534	1.916503791157418	-0.4470117539887398	-0.0632511403773332	-0.5373942952005027	0.6029513587900361	-0.1575219143531204	-0.6973269902655844	0.1603342886293033	0.6418453260709278	-1.4706781684045394	-0.761195242929011	-0.5551830344916746	1.0085350892548837	-0.4772993678011136	-1.1211205192143874	0.1049110760293339	3.1755586488371645	0.2741965742618105	3.1628632029702937	1.653770343009597	2.337601947295856	3.532737086900553	2.3989277562854854	3.023672646910392	-1.2324946319145638	0.1489576451743219	1.1830346746479086	0.6129436026963238	0.9016846571711876	0.7668468766719719	0.7738552944351851	0.4878719882389415	-0.6516934946001888	0.460025715202293
C7orf73	0.7485202084067062	1.5830064076260268	2.707381747128283	2.108439318197626	1.0248123132057252	0.7349232466113781	0.170394790299537	2.968873296783676	0.2429877648539687	0.7824663578825599	0.8244327407689194	0.6013951149591934	0.1640393003473603	2.621810700668941	2.781122759044907	2.968873296783676	2.7710340526818986	2.944435110409068	0.5313579348434774	-0.43836687782186	-1.3838934616442482	-2.227210970995106	0.3937872352312532	-1.1984929901558234	-0.7502236916606513	1.4062890618079795	1.092289729981076	-1.186282845882073	2.3706652859584403	1.139701704697454	1.0150766797165285	1.5876206430870834	1.6464026059198344	2.968873296783676	-0.1461219270746014	1.6920086275644035
CARHSP1	1.486285189410815	-0.5429829897891459	-0.6728249536254611	-0.0275111979984719	0.8250924750998325	1.331416190429361	0.0682371403996419	0.2195217862876239	1.2130502873000653	1.1747928950591149	-0.8683675597581346	2.0480599910337003	0.4761052865191042	-1.7583460200085872	0.8560398305374246	3.305023738590762	3.305023738590762	3.305023738590762	1.201419015610215	2.278817428100405	0.4668315147351943	0.1096686705997315	1.3893325420278668	1.8423987425380208	1.2503758256897946	1.514937409194667	0.7913995145605925	-0.6621868635239658	2.5200153740517868	1.1290946149231331	0.1603467551277601	-0.2229273975445939	1.4282020518155378	1.7956013561222657	-0.0405443563157841	1.1160988587158676
CCT7	0.7665055496432255	0.608547119666078	-0.5730220512478109	-0.0304069897674147	0.3104499332563892	1.1885843076518967	1.4866415003951088	0.9037221142781512	1.0417921263389045	0.6420683776020372	0.6352474935005012	2.052219673355836	0.0410830169646243	-0.7726184004064021	-2.8261007921771526	0.1313406332216406	-0.2316044442940889	-0.4303834766971083	2.5965213522878985	-2.0543078714969427	2.703468987436757	2.493263155266901	2.2348461148936467	2.634370857717016	2.703468987436757	2.1286227252658096	0.4967301947648391	2.703468987436757	0.3711937538663332	0.6588639342166652	1.0370397851339224	-0.1477374676043548	0.3706977734580279	0.0456028990418541	0.0167433883891621	0.1439311769178055
CD1B	-0.3719307050836054	-1.3354454691289317	-0.4897080425978855	-0.2762433131254295	-0.0063808782572786	-0.0198800182490126	-0.3341744788660379	1.6062347443184812	3.099106288338335	0.3059430064417568	-0.0819755392047445	2.005005034182901	-0.4904511884692447	-1.3238758960110455	3.096314747216682	-0.1938816847771581	-0.5715308632755276	1.6670392222833803	0.8168804906231449	3.178681405776427	0.7654462238492478	-0.0566533339800998	3.403343849795016	-0.4994918246539853	1.9973109279169083	2.111740088423127	-0.6068790303516403	2.3072726626384283	0.0310813709386002	0.3396349650777491	0.8854610797446136	0.5641560296106589	1.755257806019231	1.4300877114505592	0.176199504736297	-0.7106755606155286
