gene_symbol	Ctrl
ALKBH3	6.697621621621623
ALKBH4	5.35029027027027
ALKBH5	8.750491621621617
ALKBH6	7.474947297297296
ALKBH7	6.330122972972973
ALKBH8	5.431392432432431
ALLC	4.839148378378379
ALMS1	7.006844054054055
ALOX12	6.710730270270269
ALOX12B	4.1755843243243245
ALOX12P2	5.828278918918918
ALOX15	5.7328937837837834
ALOX15B	5.484377567567567
ALOX5	7.21755702702703
ALOX5AP	11.433996216216217
ALOXE3	5.756828378378379
ALPI	4.563384864864866
ALPK1	6.606785945945945
ALPK2	4.578765405405405
ALPK3	5.345378648648649
ALPL	6.952865135135135
ALPP	5.482397837837838
ALPPL2	5.9878151351351345
ALS2	3.964244594594594
ALS2CL	6.9704586486486475
ALS2CR12	4.1624908108108105
ALX1	5.165647027027028
ALX3	5.614487297297298
ALX4	5.299711621621622
ALYREF	7.129175135135134
AMACR	5.089645135135134
AMBN	5.382168648648649
AMBP	4.905208918918919
AMBRA1	6.038637297297297
AMD1	9.48124027027027
AMDHD1	4.412514594594595
AMDHD2	5.407062972972973
AMELX	3.737928108108107
AMELY	5.223095135135135
AMER2	3.8642094594594596
AMER3	5.388251891891891
AMFR	7.11634972972973
AMH	5.623857837837837
AMHR2	6.3123089189189185
AMICA1	11.332544054054054
AMIGO1	6.2864505405405415
AMIGO2	8.02104972972973
AMIGO3	7.227604324324322
AMMECR1	6.601343243243244
AMMECR1L	8.508678648648647
AMN	4.777014594594594
AMN1	7.547724324324326
AMOT	4.71757027027027
AMOTL1	5.591074594594593
AMOTL2	4.524014594594594
AMPD1	4.298384594594594
AMPD2	9.684367297297296
AMPD3	5.4671451351351354
AMPH	4.92033027027027
AMT	7.28342891891892
AMZ2	9.305789459459456
AMZ2P1	6.67067972972973
ANAPC1	7.116793513513513
ANAPC10	5.9787745945945945
ANAPC11	8.645264324324323
ANAPC13	10.68415567567568
ANAPC15	7.758380810810808
ANAPC16	9.758786486486489
ANAPC2	7.300842162162163
ANAPC4	9.242120540540538
ANAPC5	7.947590810810814
