"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0050672","negative regulation of lymphocyte proliferation",83,0.479791804904406,1.7706906191115,0.000566331034707155,0.00777601520928644,0.00586578481147863,5530,"tags=40%, list=17%, signal=33%","CEBPB/PELI1/HAVCR2/RASSF5/CD86/ATM/PRKAR1A/IL10/LYN/HLA-DRB1/TNFRSF14/PKN1/PRNP/VSIG4/CBLB/HLA-E/INPP5D/CD300A/HLA-G/ITCH/SFTPD/CTLA4/LILRB1/PTPN6/LILRB4/CR1/SLC4A2/XCL1/FCGR2B/ZBTB7B/CRTAM/IL20RB/BTK"
"GO:0033046","negative regulation of sister chromatid segregation",46,-0.570170415484153,-1.88480658289235,0.000571767731548694,0.00778134230683818,0.00586980327171402,2058,"tags=46%, list=6%, signal=43%","SKA3/BUB1B/TTK/MAD2L1/KNTC1/NUF2/TRIP13/AURKB/SPC24/CDC20/SKA1/CDCA8/FBXO5/CDK5RAP2/SPC25/CENPF/NDC80/CCNB1/BUB1/ZWINT/BIRC5"
"GO:0033048","negative regulation of mitotic sister chromatid segregation",46,-0.570170415484153,-1.88480658289235,0.000571767731548694,0.00778134230683818,0.00586980327171402,2058,"tags=46%, list=6%, signal=43%","SKA3/BUB1B/TTK/MAD2L1/KNTC1/NUF2/TRIP13/AURKB/SPC24/CDC20/SKA1/CDCA8/FBXO5/CDK5RAP2/SPC25/CENPF/NDC80/CCNB1/BUB1/ZWINT/BIRC5"
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition",46,-0.570170415484153,-1.88480658289235,0.000571767731548694,0.00778134230683818,0.00586980327171402,2058,"tags=46%, list=6%, signal=43%","SKA3/BUB1B/TTK/MAD2L1/KNTC1/NUF2/TRIP13/AURKB/SPC24/CDC20/SKA1/CDCA8/FBXO5/CDK5RAP2/SPC25/CENPF/NDC80/CCNB1/BUB1/ZWINT/BIRC5"
"GO:2000816","negative regulation of mitotic sister chromatid separation",46,-0.570170415484153,-1.88480658289235,0.000571767731548694,0.00778134230683818,0.00586980327171402,2058,"tags=46%, list=6%, signal=43%","SKA3/BUB1B/TTK/MAD2L1/KNTC1/NUF2/TRIP13/AURKB/SPC24/CDC20/SKA1/CDCA8/FBXO5/CDK5RAP2/SPC25/CENPF/NDC80/CCNB1/BUB1/ZWINT/BIRC5"
"GO:0071901","negative regulation of protein serine/threonine kinase activity",74,0.479025796708912,1.73634793393925,0.00057378971181245,0.00779165985313603,0.00587758624342083,5069,"tags=36%, list=16%, signal=31%","DUSP1/RGS2/PTEN/IL1B/PRKCH/PDCD4/CDKN1B/HIPK3/STK38/LYN/NF1/TNFAIP3/APC/PTPN1/ZNF675/LATS1/CDK5RAP3/CD300A/RB1/RGS14/SLC8A1/CHORDC1/ABL1/PAQR3/NUP62/LATS2/HHEX"
"GO:0070849","response to epidermal growth factor",42,0.565286212630484,1.849157212369,0.000576943021317995,0.00781726093719876,0.00589689824912181,4454,"tags=33%, list=14%, signal=29%","FOS/ZFP36/TPR/PDPK1/ZFP36L1/BECN1/IQGAP1/STAT5B/DUSP22/PTPN12/CFLAR/PDE8A/ZFP36L2/SNX6"
"GO:0034101","erythrocyte homeostasis",138,-0.415007502992816,-1.65255739197825,0.000581253716311011,0.00784120166533345,0.0059149577764875,2224,"tags=25%, list=7%, signal=24%","TMEM14C/GATA2/PRDX1/EPB42/RPS24/CHMP5/RACGAP1/FLVCR1/VEGFA/VPS13A/DIAPH3/GPI/AHSP/CDK6/SLC25A38/ABCB10/THRA/ALAS2/SLC4A1/DYRK3/GATA1/CITED2/FOXO3/TRIM58/TAL1/TRIM10/INHBA/FECH/BPGM/RHAG/SLC1A5/TSPO2/MYB/KLF1/SLC48A1"
"GO:0009411","response to UV",142,-0.411977426380354,-1.64558656089703,0.000581253716311011,0.00784120166533345,0.0059149577764875,3445,"tags=24%, list=11%, signal=21%","EIF2AK4/MMP2/RPL26/CCND1/MMP1/RUVBL2/CDKN1A/BRCA2/RPAIN/PBK/SMPD1/MSH2/YY1/POLD1/HYAL2/CERS1/FEN1/AURKB/CAT/DDB1/HYAL3/CDC25A/MAP2K7/TIPIN/DTL/CUL4A/PCNA/ATF4/GPX1/FECH/RBX1/STK11/ELANE/AQP1"
"GO:0007080","mitotic metaphase chromosome alignment",59,-0.511731708847554,-1.76929582290308,0.000585483760724479,0.0078810204909747,0.00594499483999253,3021,"tags=42%, list=9%, signal=38%","CHMP4B/PSRC1/CHMP7/CHMP4C/KIF14/SKA3/DCTN2/CHMP5/TTK/NUF2/AURKB/VPS4A/KIFC1/SKA1/CENPE/KAT2B/CDCA8/KIF2C/KIF22/NDC80/CCNB1/CDT1/CDK1/CDCA5/BIRC5"
"GO:0010543","regulation of platelet activation",54,-0.53067831709247,-1.80844528099525,0.000589279492436075,0.0079148323984061,0.00597050062511771,1074,"tags=20%, list=3%, signal=20%","GP9/PEAR1/CD9/MFSD2B/ALOX12/FUNDC2/SELP/MMRN1/GP6/GP1BB/CTSG"
"GO:0045058","T cell selection",62,0.495351912121429,1.741932304854,0.000591004475031238,0.00792074475775561,0.00597496057365677,5745,"tags=52%, list=18%, signal=42%","DOCK2/STAT5A/CD69/SOCS3/PTPN2/JAK1/TBX21/STAT6/CD74/STAT3/ZAP70/SLAMF6/BCL11B/EP300/SRF/PTPRC/IL12RB1/IL6R/GLI3/THEMIS/TOX/IL6ST/SYK/ATG5/GATA3/CD1D/OPA1/CYLD/JAK3/ITPKB/NFATC3/CCR7"
