"gene","t_statistic"
"ST3GAL2",1.6981444917355
"LOC648044",1.69775579245054
"BEND7",1.69771251606609
"FBXO3",1.69731788626326
"BMS1P5",1.69718692246246
"CD58",1.6968001745934
"LINC00355",1.69666470276918
"XLOC_013993",1.69601855386166
"XLOC_008018",1.69578948463324
"YBX2",1.69565919666284
"LRRN3",1.69473375541559
"C15orf56",1.69472092524315
"XLOC_001259",1.694696450682
"LOC100506258",1.69454838324407
"RARRES3",1.69418450436372
"SNHG6",1.69400995880088
"TM6SF1",1.69381048671244
"PGPEP1L",1.69320371139544
"USP32P2",1.69305980339235
"XLOC_l2_001800",1.69256722073956
"PADI4",1.69254186280023
"ORC2",1.69228569295586
"XLOC_010774",1.69216864289141
"DDOST",1.69076813180794
"SNORD84",1.69025706820898
"LOC100507175",1.69002884572493
"ZNF880",1.6898023059704
"XLOC_007145",1.68877914701991
"DCAF8",1.68830950809842
"IGKV1D-13",1.68812465633249
"XLOC_001539",1.68718897321923
"XLOC_003293",1.68717098072086
"MYD88",1.68710047674762
"CUL5",1.68679283557508
"XLOC_002912",1.68661248052616
"XLOC_000604",1.6863840339338
"ADIPOQ",1.68612258617826
"XLOC_010542",1.68510598629796
"LILRP2",1.68484350224918
"ZNF181",1.68422108735885
"DICER1-AS",1.68387461753021
"XLOC_l2_005076",1.68369163374027
"XLOC_011482",1.68366764572331
"XLOC_008964",1.68291197301974
"XLOC_002264",1.6828307654189
"NOL9",1.68281814778194
"RAD51AP2",1.68280253704648
"XLOC_l2_015201",1.68276064924195
"LOC389300",1.6821182668268
"XLOC_l2_010370",1.68071758361866
"ADNP",1.68050318285812
"SFXN1",1.68025139567074
"LINC00271",1.67984100271507
"LOC100129113",1.6796627049378
"FLJ36644",1.67942935037545
"MXRA7",1.67842153998849
"XLOC_011661",1.67839013882849
"GLT6D1",1.67794565704165
"PGBD4",1.67794189055599
"FLJ25758",1.67793519184381
"GLIPR2",1.67746406684765
"XLOC_l2_005622",1.67727394242152
"HMGA1",1.67630223484408
"LOC100505920",1.6759391299038
"XLOC_004450",1.67575259995518
"ACE2",1.67547851954103
"C20orf132",1.67519935558321
"SNORA36A",1.67487575512186
"KLF15",1.67413690103865
"XLOC_001093",1.67375938666047
"RSRC2",1.67319718633526
"XLOC_000712",1.67249425114995
"SCG3",1.67248026823384
"LOC144571",1.672472473087
"XLOC_011596",1.67246577355468
"NAP1L3",1.67164696347775
"LACTBL1",1.67060790876788
"MPI",1.66998859212973
"FLOT2",1.66995634432844
"XLOC_009452",1.669043496026
"XLOC_011104",1.66895284761736
"XLOC_002148",1.66882766769211
"CDH2",1.66815936376066
"PDZD4",1.66792707808028
"B4GALNT3",1.66767712286061
"LOC100128699",1.66724006215322
"LOC100129292",1.66653784428836
"SUMO1P3",1.66638139947868
"IMMT",1.66625624720979
"FAM200A",1.66610284130768
"HTN3",1.66532991905991
"CEP120",1.66476985903371
"PIK3AP1",1.66463644007227
"C12orf23",1.66458465942974
"XLOC_l2_005602",1.66419667962793
"LOC100131860",1.66417031576913
"FAM170A",1.66355805822157
"LOC100616530",1.66355307227513
"CDKN1C",1.66321329679741
"C9orf163",1.6629502110336
"KCTD6",1.66222666560031
"XLOC_004625",1.66178643561437
"LMBR1",1.66149876742782
"WHAMM",1.66118211828277
"GRHL3",1.66112928102317
"C15orf57",1.66105470366156
"OR13C3",1.66080960231468
"XLOC_012794",1.66059313488747
"HTATSF1",1.66049707324178
"IFNGR2",1.66045489315016
"ABHD16A",1.66026205563763
"C5orf44",1.65906807686895
"LOC729696",1.65890671138009
"FOXI3",1.65863085783496
"TMEM203",1.65848041569885
"LOC100287413",1.65835218426956
"XLOC_002249",1.6573389933827
"XLOC_008965",1.65660358938175
"KCNG4",1.65645013572806
"ZBTB2",1.65561192005068
"KRTAP22-2",1.65549739919743
"LCNL1",1.65452727760068
"YTHDF3",1.65436110307902
"DCC",1.65419000550914
"XLOC_005744",1.65386242886759
"LOC100652838",1.6536119472315
"ZNF366",1.65344554182846
"SNORD1A",1.65324600047875
"CSMD2",1.65294580611546
"SERHL2",1.65262983553633
"LOC100653014",1.6521178324168
"XLOC_l2_008802",1.65191264339041
"CHRNG",1.65183328599019
"XLOC_004636",1.65103028114505
"ZNF471",1.65046795178542
"NUDT11",1.65037775793869
"XLOC_002322",1.64987700174533
"LINC00114",1.64911916597926
"TOR1B",1.64904924606554
"THAP4",1.64880104021187
"XLOC_010624",1.64870012141595
"XLOC_010023",1.64763145698139
"PDCL3",1.6476185311694
"KRTAP21-1",1.64732069193865
"NRARP",1.64698086372877
"PGPEP1",1.64601664929934
"BDH2",1.64528515914165
"XLOC_003406",1.64526704230736
"LOC100505702",1.64526275708452
"XLOC_005569",1.64518930107021
"SENP6",1.6446563189295
"NUS1",1.6441978839545
"C10orf54",1.644160496249
"ALG2",1.64404834105452
"XLOC_012506",1.64386353697941
"HERC2P7",1.64299526720362
"B4GALT5",1.64188174114109
"MORF4L1",1.64150845801291
"THOC5",1.64139523607276
"FBXW2",1.64134197925652
"CALHM1",1.64037675904824
"XLOC_008689",1.63982785967075
"LOC100287366",1.63919422081984
"DPRXP4",1.63887312139253
"LOC100288568",1.63856613745341
"SLITRK2",1.63830026724496
"COL9A1",1.63825195937383
"LOC100506548",1.63811286310562
"LRRC16A",1.63801470504516
"XLOC_006780",1.63784747362252
